,longitude,latitude,zipcode,num_bedrooms,num_bathrooms,listing_price,neighborhood,street_address
1170,-97.77365,30.29477,78703,6.0,6.0,1700.0,Tarrytown,3004 Cherry Lane
1171,-97.73324,30.24252,78741,10.0,10.0,399.0,East Riverside,1606 Elmhurst Drive
1172,-97.72464,30.28663,78722,1.0,1.0,85.0,University of Texas,North Interstate 35 University Park
1173,-97.76072,30.27776,78703,1.0,1.0,90.0,,1518 West 9th Street
1174,-97.7235,30.3376,78757,2.0,2.0,500.0,Brentwood,1103 Justin Lane
1175,-97.70885,30.27448,78702,1.0,1.0,100.0,Rosewood,1190 1/2 Hargrave Street
1176,-97.72308,30.36053,78757,1.0,1.0,200.0,Wooten,8218 Renton Drive
1177,-97.79145,30.25771,78746,1.0,1.0,250.0,,Landmark Barton Creek Apartments Austin
1178,-97.75179,30.25563,78704,2.0,2.0,400.0,South First,700 South 1st Street
1179,-97.68286,30.27723,78721,2.0,2.0,645.0,MLK & 183,1171 Nickols Avenue
1180,-97.72389,30.24987,78702,1.0,1.0,78.0,Holly,2106 Jesse E Segovia Street
1181,-97.67582,30.28257,78721,1.0,1.0,55.0,MLK & 183,1817 Webberville Road
1182,-97.71554,30.26457,78702,1.0,1.0,450.0,East Downtown,2404 East 9th Street
1183,-97.6764,30.28036,78721,1.0,1.0,42.0,MLK & 183,1727 Bunche Road
1184,-97.72659,30.29205,78705,1.0,1.0,250.0,Hancock,3212 Red River Street
1185,-97.75189,30.30717,78703,1.0,1.0,47.0,Bryker Woods,3427 Jefferson Street
1186,-97.79578,30.25705,78746,2.0,2.0,125.0,Barton Hills,Barton Creek Landing Austin
1188,-97.71712,30.27699,78702,1.0,1.0,179.0,East Downtown,Chestnut Splash Pad East 16th Street
1189,-97.84982,30.3001,78746,2.0,2.0,300.0,Barton Creek,709 Furlong Drive
1190,-97.74106,30.2285,78741,1.0,1.0,35.0,Parker Lane,2700 Little Valley Cove
1191,-97.71378,30.33856,78752,1.0,1.0,90.0,Highland,598 West Odell Street
1192,-97.74542,30.29126,78705,1.0,1.0,100.0,West Campus,2604 Salado Street
1193,-97.72731,30.24401,78741,2.0,2.0,313.0,East Riverside,South Shore District Two 1330
1194,-97.74664,30.25302,78704,1.0,1.0,250.0,South Congress,South River City Austin
1195,-97.73351,30.26578,78702,1.0,1.0,150.0,East Downtown,601 Brushy Street
1196,-97.88041,30.32868,78733,1.0,1.0,150.0,,10200 Birdlip Circle
