,street_address,zipcode,latitude,longitude,num_bedrooms,num_bathrooms,rent_price,sqft,type,URL
37,10407 Burmaster Ln,78750,30.447567447006403,-97.80592469360296,3.0,2.0,1990.0,1049.0, SingleFamily,https://www.zillow.com/homedetails/10407-Burmaster-Ln-Austin-TX-78750/29569215_zpid/
39,3303 Govalle Ave #2,78702,30.265597,-97.70133042424243,3.0,2.5,4950.0,1421.0, Apartment,https://www.zillow.com/homedetails/3303-Govalle-Ave-2-Austin-TX-78702/2072849606_zpid/
40,4553 Guadalupe St #B311,78751,30.31230925,-97.7316502402303,1.0,1.0,1095.0,600.0, Apartment,https://www.zillow.com/homedetails/4553-Guadalupe-St-B311-Austin-TX-78751/2076886450_zpid/
41,5820 Harper Park Dr,78735,30.238816030383052,-97.8510052784753,3.0,2.5,5000.0,2454.0, SingleFamily,https://www.zillow.com/homedetails/5820-Harper-Park-Dr-Austin-TX-78735/2070950660_zpid/
46,6503 Cooper Ln,78745,30.20046557142857,-97.78975304081632,3.0,1.0,2800.0,950.0, SingleFamily,https://www.zillow.com/homedetails/6503-Cooper-Ln-Austin-TX-78745/29494602_zpid/
47,5409 Sunshine Dr,78756,30.323462181818183,-97.73126381818182,3.0,2.0,3000.0,1100.0, SingleFamily,https://www.zillow.com/homedetails/5409-Sunshine-Dr-Austin-TX-78756/29410797_zpid/
52,3106 Wickham Ln,78725,30.23237395082199,-97.59387580744269,3.0,2.0,1969.0,1378.0, SingleFamily,https://www.zillow.com/homedetails/3106-Wickham-Ln-Austin-TX-78725/70345613_zpid/
53,2212 Lanier Dr,78757,30.361618,-97.727637,2.0,1.0,1795.0,1000.0, Townhouse,https://www.zillow.com/homedetails/2212-Lanier-Dr-Austin-TX-78757/29426436_zpid/
54,11601 Century Oaks Ter FLOOR 1-ID39,78758,30.402686,-97.725126,1.0,1.0,2740.0,718.0, Apartment,https://www.zillow.com/homedetails/11601-Century-Oaks-Ter-FLOOR-1-ID39-Austin-TX-78758/2063443471_zpid/
56,1502 Aquifer Cv #B,78746,,,3.0,2.0,4195.0,1269.0, Townhouse,https://www.zillow.com/homedetails/1502-Aquifer-Cv-B-Austin-TX-78746/29326356_zpid/
57,124 Cumberland Rd APT 204,78704,,,2.0,3.0,3400.0,1476.0, Townhouse,https://www.zillow.com/homedetails/124-Cumberland-Rd-APT-204-Austin-TX-78704/124843849_zpid/
58,13030 Staton Dr,78727,,,3.0,2.0,2099.0,1094.0, SingleFamily,https://www.zillow.com/homedetails/13030-Staton-Dr-Austin-TX-78727/29443200_zpid/
59,5109 Martin Ave #A,78751,,,2.0,2.0,2900.0,884.0, Apartment,https://www.zillow.com/homedetails/5109-Martin-Ave-A-Austin-TX-78751/2063417743_zpid/
61,2210 Holly St #B,78702,,,2.0,2.0,2300.0,828.0, Apartment,https://www.zillow.com/homedetails/2210-Holly-St-B-Austin-TX-78702/2064209597_zpid/
63,2912 Windcliff Way,78748,,,4.0,2.0,3100.0,2074.0, SingleFamily,https://www.zillow.com/homedetails/2912-Windcliff-Way-Austin-TX-78748/58317488_zpid/
65,48 East Ave #2106,78701,,,1.0,1.0,3995.0,783.0, Apartment,https://www.zillow.com/homedetails/48-East-Ave-2106-Austin-TX-78701/2077005165_zpid/
66,4131 Travis Country Cir,78735,,,4.0,3.5,6495.0,2990.0, SingleFamily,https://www.zillow.com/homedetails/4131-Travis-Country-Cir-Austin-TX-78735/29323195_zpid/
68,9414 Us Highway 183 S,78747,,,3.0,2.0,3000.0,1599.0, SingleFamily,https://www.zillow.com/homedetails/9414-Us-Highway-183-S-Austin-TX-78747/29471370_zpid/
70,2502 Leon St APT 302,78705,,,2.0,2.0,1900.0,925.0, Apartment,https://www.zillow.com/homedetails/2502-Leon-St-APT-302-Austin-TX-78705/251033232_zpid/
77,610 1/2 W 30th St,78705,,,1.0,1.0,1445.0,400.0, Apartment,https://www.zillow.com/homedetails/610-1-2-W-30th-St-Austin-TX-78705/2066425109_zpid/
78,1301 Luna St,78721,,,3.0,2.0,5885.0,1100.0, SingleFamily,https://www.zillow.com/homedetails/1301-Luna-St-Austin-TX-78721/29390234_zpid/
80,7501 Meadowview Ln,78752,,,3.0,2.0,2700.0,1519.0, SingleFamily,https://www.zillow.com/homedetails/7501-Meadowview-Ln-Austin-TX-78752/29416457_zpid/
83,811 W James St,78704,,,3.0,3.5,13500.0,2452.0, SingleFamily,https://www.zillow.com/homedetails/811-W-James-St-Austin-TX-78704/29322608_zpid/
84,2400 Southland Dr #A,78704,,,2.0,2.0,2440.0,915.0, Apartment,https://www.zillow.com/homedetails/2400-Southland-Dr-A-Austin-TX-78704/2084087114_zpid/
85,904 W 21st St APT 218,78705,,,3.0,2.0,2550.0,1103.0, Apartment,https://www.zillow.com/homedetails/904-W-21st-St-APT-218-Austin-TX-78705/62605585_zpid/
86,9206 Sommerland Way,78749,,,3.0,2.5,3195.0,2081.0, SingleFamily,https://www.zillow.com/homedetails/9206-Sommerland-Way-Austin-TX-78749/29496594_zpid/
87,5402 Brompton Cir,78745,,,3.0,1.0,3200.0,1160.0, Apartment,https://www.zillow.com/homedetails/5402-Brompton-Cir-Austin-TX-78745/29485839_zpid/
90,6817 Walkup Ln,78747,,,3.0,2.5,2150.0,2068.0, SingleFamily,https://www.zillow.com/homedetails/6817-Walkup-Ln-Austin-TX-78747/70342400_zpid/
91,3702 Far View Dr #B,78730,,,1.0,1.0,1700.0,350.0, Apartment,https://www.zillow.com/homedetails/3702-Far-View-Dr-B-Austin-TX-78730/2065724027_zpid/
92,2709 Crest Ave,78702,,,3.0,2.0,4000.0,1418.0, SingleFamily,https://www.zillow.com/homedetails/2709-Crest-Ave-Austin-TX-78702/80087292_zpid/
93,8620 Deja Ave,78747,,,3.0,2.5,2150.0,1665.0, SingleFamily,https://www.zillow.com/homedetails/8620-Deja-Ave-Austin-TX-78747/70334804_zpid/
94,4732 Palisade Dr,78731,,,3.0,2.5,3800.0,2406.0, SingleFamily,https://www.zillow.com/homedetails/4732-Palisade-Dr-Austin-TX-78731/29346364_zpid/
96,5906 Laird Dr,78757,,,1.0,1.0,2050.0,806.0, SingleFamily,https://www.zillow.com/homedetails/5906-Laird-Dr-Austin-TX-78757/29414176_zpid/
97,510 W 18th St,78701,,,2.0,2.5,4995.0,1270.0, Townhouse,https://www.zillow.com/homedetails/510-W-18th-St-Austin-TX-78701/2065697034_zpid/
98,800 W 3rd St,78701,,,1.0,1.0,2173.0,756.0, Apartment,https://www.zillow.com/homedetails/800-W-3rd-St-Austin-TX-78701/2063447836_zpid/
99,2512 Berwyn Cir,78745,,,3.0,2.0,2700.0,2000.0, SingleFamily,https://www.zillow.com/homedetails/2512-Berwyn-Cir-Austin-TX-78745/29483103_zpid/
