,street_address,zipcode,num_bedrooms,num_bathrooms,home_price,latest_saledate,latest_salemonth,latest_saleyear,URL
97,360 Nueces St APT 1810,78701,1,1,767200,29,4,2022,https://www.zillow.com/homedetails/360-Nueces-St-APT-1810-Austin-TX-78701/89546701_zpid/
98,911 Chote Ave,78702,3,1,727300,29,4,2022,https://www.zillow.com/homedetails/911-Chote-Ave-Austin-TX-78702/29384791_zpid/
99,1000 E 44th St,78751,2,1,780000,5,5,2021,https://www.zillow.com/homedetails/1000-E-44th-St-Austin-TX-78751/29399509_zpid/
100,1002 E 43rd St,78751,2,1,807800,7,5,2021,https://www.zillow.com/homedetails/1002-E-43rd-St-Austin-TX-78751/29399496_zpid/
101,1002 Lott Ave,78721,3,1,981700,2,9,2021,https://www.zillow.com/homedetails/1002-Lott-Ave-Austin-TX-78721/29387173_zpid/
102,1006 E 38th 1/2 St,78751,2,1,704500,24,2,2022,https://www.zillow.com/homedetails/1006-E-38th-1-2-St-Austin-TX-78751/29398421_zpid/
103,1007 W Johanna St,78704,2,1,1621100,10,11,2021,https://www.zillow.com/homedetails/1007-W-Johanna-St-Austin-TX-78704/29472083_zpid/
104,100 Florence Dr,78753,2,1,455700,24,2,2022,https://www.zillow.com/homedetails/100-Florence-Dr-Austin-TX-78753/29421606_zpid/
105,1011 E 43rd St,78751,2,1,613600,1,2,2022,https://www.zillow.com/homedetails/1011-E-43rd-St-Austin-TX-78751/29399466_zpid/
106,1014 Bonham Ter,78704,2,1,1257700,14,5,2021,https://www.zillow.com/homedetails/1014-Bonham-Ter-Austin-TX-78704/29459424_zpid/
107,1015 E Yager Ln UNIT 141,78753,1,1,,10,11,2021,https://www.zillow.com/homedetails/1015-E-Yager-Ln-UNIT-141-Austin-TX-78753/29435460_zpid/
108,1015 E Yager Ln UNIT 160,78753,1,1,,2,7,2021,https://www.zillow.com/homedetails/1015-E-Yager-Ln-UNIT-160-Austin-TX-78753/29435479_zpid/
109,101 Clearday Dr APT 129,78745,2,1,342600,4,1,2022,https://www.zillow.com/homedetails/101-Clearday-Dr-APT-129-Austin-TX-78745/29500607_zpid/
110,1028 E 43rd St,78751,2,1,689800,1,9,2021,https://www.zillow.com/homedetails/1028-E-43rd-St-Austin-TX-78751/29399593_zpid/
111,1028 E 44th St,78751,2,1,871300,19,7,2021,https://www.zillow.com/homedetails/1028-E-44th-St-Austin-TX-78751/29399558_zpid/
112,1045 Broadview St,78723,2,1,547400,27,4,2021,https://www.zillow.com/homedetails/1045-Broadview-St-Austin-TX-78723/29409775_zpid/
113,104 Franklin Blvd APT B,78751,2,1,647800,18,6,2021,https://www.zillow.com/homedetails/104-Franklin-Blvd-APT-B-Austin-TX-78751/2116392882_zpid/
114,10505 Marshitahs Way,78748,2,1,448500,29,6,2021,https://www.zillow.com/homedetails/10505-Marshitahs-Way-Austin-TX-78748/58317191_zpid/
115,10616 Mellow Mdws,78750,2,1,248400,11,11,2021,https://www.zillow.com/homedetails/10616-Mellow-Mdws-Austin-TX-78750/70994459_zpid/
116,10616 Mellow Meadows Dr #13C,78750,2,1,321100,1,1,2022,https://www.zillow.com/homedetails/10616-Mellow-Meadows-Dr-13C-Austin-TX-78750/2095507000_zpid/
117,10620 Razil Ct,78748,3,1,471700,29,6,2021,https://www.zillow.com/homedetails/10620-Razil-Ct-Austin-TX-78748/58317106_zpid/
118,107 W 55th 1/2 St,78751,2,1,1387300,26,2,2021,https://www.zillow.com/homedetails/107-W-55th-1-2-St-Austin-TX-78751/29409304_zpid/
119,1101 Grove Blvd APT 209,78741,1,1,330100,10,9,2021,https://www.zillow.com/homedetails/1101-Grove-Blvd-APT-209-Austin-TX-78741/80090631_zpid/
120,1101 Shoal Creek Blvd APT 19,78701,2,1,,8,7,2020,https://www.zillow.com/homedetails/1101-Shoal-Creek-Blvd-APT-19-Austin-TX-78701/119617511_zpid/
