ID,Address,SFT,Beds,Baths,Price
5,"4427 Shadow Glen Dr Dallas, TX 75287","2,992 sqft",4bd,4ba,"$705,000"
6,"Merion at Midtown Park Dallas, TX 75231","2,164 sqft",3bd,3ba,"$654,900+"
7,"4611 Travis St #1400 Dallas, TX 75205","2,523 sqft",2bd,3ba,"$1,500,000"
8,"7113 Highland Heather Ln Dallas, TX 75248","2,570 sqft",3bd,3ba,"$675,000"
9,"8821 Forest Cliff Dr Dallas, TX 75228","2,121 sqft",4bd,2ba,"$534,900"
10,"6050 Melody Ln #346 Dallas, TX 75231",885 sqft,2bd,2ba,"$125,000"
11,"3635 Norcross Ln Dallas, TX 75229","4,661 sqft",5bd,5ba,"$1,800,000"
12,"6049 Glendora Ave Dallas, TX 75230","5,625 sqft (on 0.34 acres)",4bd,6ba,"$2,395,000"
13,"Wellington Farms Dallas Dallas, TX 75253","1,614 sqft",3bd,2ba,"$322,490+"
14,"2848 Woodside St #7A Dallas, TX 75204","2,342 sqft",2bd,3ba,"$676,000"
15,"10005 Chippendale Dr Dallas, TX 75238","1,928 sqft",4bd,2ba,"$480,000"
16,"4206 Somerville Ave Dallas, TX 75206",NA,NA,NA,"$375,000"
17,"4550 Crooked Ln Dallas, TX 75229",NA,NA,NA,"$1,300,000"
18,"4526 Fairway St Highland Park, TX 75219","3,612 sqft",4bd,4ba,"$1,800,000"
19,"2134 W Amherst Ave Dallas, TX 75235","1,014 sqft",2bd,1ba,"$300,000"
20,"3356 Blackburn St Dallas, TX 75204","5,050 sqft",4bd,5ba,"$2,495,000"
21,"14111 Kelann Ct Dallas, TX 75253","2,748 sqft (on 0.25 acres)",5bd,2ba,"$420,000"
22,"11509 Desdemona Dr Dallas, TX 75228","1,176 sqft",3bd,1ba,"$229,900"
23,"9628 Shoreview Rd Dallas, TX 75238","2,321 sqft",3bd,3ba,"$775,000"
24,"5325 Alton Ave Dallas, TX 75214","1,358 sqft",3bd,2ba,"$399,999"
25,"2506 Materhorn Dr Dallas, TX 75228","1,866 sqft",3bd,2ba,"$395,000"
26,"147 Classen Dr Dallas, TX 75218","3,398 sqft (on 0.31 acres)",4bd,3ba,"$899,900"
27,"3904 Valley Ridge Rd Dallas, TX 75220","4,198 sqft",5bd,6ba,"$1,720,000"
28,"3620 Vinecrest Dr Dallas, TX 75229","1,966 sqft",3bd,2ba,"$550,000"
29,"3910 Polly St Dallas, TX 75210","4,340 sqft",16bd,1ba,"$850,000"
30,"4636 Stanford Ave Dallas, TX 75209","4,675 sqft",4bd,6ba,"$1,995,000"
31,"17214 Club Hill Dr Dallas, TX 75248","8,989 sqft",5bd,7ba,"$6,500,000"
32,"211 La Estrella Plz Dallas, TX 75203","1,342 sqft",2bd,3ba,"$350,000"
33,"5964 Evening Star Pl Dallas, TX 75235","1,877 sqft",3bd,4ba,"$535,000"
34,"3130 N Harwood St #701 Dallas, TX 75201","2,231 sqft",3bd,4ba,"$1,913,000"
35,"13616 Flagstone Ln Dallas, TX 75240","1,259 sqft",2bd,2ba,"$289,000"
36,"5136 Westgrove Dr #5136 Dallas, TX 75248","1,918 sqft",2bd,3ba,"$425,000"
37,"1528 Oak Knoll St Dallas, TX 75208","3,304 sqft",4bd,4ba,"$1,549,000"
38,"321 Classen Dr Dallas, TX 75218","1,848 sqft (on 0.31 acres)",3bd,2ba,"$700,000"
39,"2919 State St Dallas, TX 75204","2,265 sqft",3bd,4ba,"$745,000"
0,"2702 Douglas Ave #149 Dallas, TX 75219",713 sqft,1bd,1ba,"$170,000"
1,"8335 Freeport Dr Dallas, TX 75228","1,812 sqft",3bd,2ba,"$430,000"
2,"2964 Saint Albert Dr Dallas, TX 75233","2,441 sqft",4bd,3ba,"$345,000"
3,"3911 Cortez Dr Dallas, TX 75220","1,408 sqft",3bd,2ba,"$548,900"
4,"4501 Belfort Ave Highland Park, TX 75205","6,390 sqft",5bd,8ba,"$3,950,000"
5,"6807 Lacy Blvd Dallas, TX 75227","1,369 sqft (on 0.70 acres)",3bd,2ba,"$325,000"
